Generator,N,Configurations,Kappa,Autocorrelation,Internal Energy,IE Error,Winding,Winding Error
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD76620>,5,10000,0.5,0.0032,2.3261,0.0432,0.0739,0.0032
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD74910>,5,10000,0.5,0.0038,2.3219,0.0497,0.0727,0.0038
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD76050>,5,10000,0.505,0.0030,2.2273,0.0410,0.0715,0.0030
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD76380>,5,10000,0.505,0.0039,2.2605,0.0537,0.0735,0.0039
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD76530>,5,10000,0.51,0.0036,2.1676,0.0481,0.0681,0.0036
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD765F0>,5,10000,0.51,0.0039,2.2027,0.0525,0.0713,0.0039
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD76C20>,5,10000,0.515,0.0027,2.0918,0.0361,0.0656,0.0027
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD76230>,5,10000,0.515,0.0039,2.1658,0.0508,0.0713,0.0039
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD76A40>,5,10000,0.52,0.0028,1.9821,0.0356,0.0595,0.0028
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD76B00>,5,10000,0.52,0.0037,1.9827,0.0476,0.0605,0.0037
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD75D20>,5,10000,0.525,0.0029,1.8987,0.0327,0.0551,0.0029
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD74F70>,5,10000,0.525,0.0035,1.8554,0.0450,0.0522,0.0035
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD75480>,5,10000,0.53,0.0031,1.7804,0.0369,0.0503,0.0031
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD75B40>,5,10000,0.53,0.0039,1.8692,0.0441,0.0551,0.0039
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD74E50>,5,10000,0.535,0.0026,1.7707,0.0305,0.0506,0.0026
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD74B20>,5,10000,0.535,0.0033,1.7155,0.0398,0.0465,0.0033
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD74D60>,5,10000,0.54,0.0024,1.7112,0.0276,0.0488,0.0024
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD74BB0>,5,10000,0.54,0.0032,1.6333,0.0356,0.0398,0.0032
<supervillain.generator.combining.Sequentially object at 0x0000025CA263F190>,5,10000,0.545,0.0022,1.6902,0.0244,0.0507,0.0022
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CA263F220>,5,10000,0.545,0.0033,1.6645,0.0426,0.0485,0.0033
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD74280>,5,10000,0.55,0.0021,1.6316,0.0229,0.0480,0.0021
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD74340>,5,10000,0.55,0.0033,1.6080,0.0357,0.0456,0.0033
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD74130>,5,10000,0.555,0.0021,1.5063,0.0235,0.0384,0.0021
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD74070>,5,10000,0.555,0.0032,1.5890,0.0363,0.0443,0.0032
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD77400>,5,10000,0.56,0.0022,1.4402,0.0227,0.0340,0.0022
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD77A90>,5,10000,0.56,0.0036,1.4923,0.0372,0.0382,0.0036
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD778E0>,5,10000,0.565,0.0019,1.4616,0.0211,0.0388,0.0019
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD77C40>,5,10000,0.565,0.0034,1.5023,0.0367,0.0426,0.0034
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD84040>,5,10000,0.5700000000000001,0.0023,1.4010,0.0236,0.0360,0.0023
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD842B0>,5,10000,0.5700000000000001,0.0029,1.3865,0.0304,0.0327,0.0029
<supervillain.generator.combining.Sequentially object at 0x0000025CAAD85CC0>,5,10000,0.575,0.0019,1.3327,0.0203,0.0316,0.0019
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD843D0>,5,10000,0.575,0.0035,1.3050,0.0348,0.0296,0.0035
<supervillain.generator.combining.Sequentially object at 0x0000025CA2638460>,5,10000,0.58,0.0022,1.2809,0.0217,0.0278,0.0022
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CA2638CA0>,5,10000,0.58,0.0033,1.3050,0.0296,0.0293,0.0033
<supervillain.generator.combining.Sequentially object at 0x0000025CA263AB00>,5,10000,0.585,0.0021,1.2370,0.0223,0.0276,0.0021
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAE8B700>,5,10000,0.585,0.0028,1.2379,0.0287,0.0289,0.0028
<supervillain.generator.combining.Sequentially object at 0x0000025CAAA62FB0>,5,10000,0.59,0.0017,1.2202,0.0188,0.0281,0.0017
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAA625C0>,5,10000,0.59,0.0032,1.2156,0.0311,0.0268,0.0032
<supervillain.generator.combining.Sequentially object at 0x0000025CAB970100>,5,10000,0.595,0.0021,1.1861,0.0220,0.0272,0.0021
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB9701F0>,5,10000,0.595,0.0027,1.1529,0.0256,0.0215,0.0027
<supervillain.generator.combining.Sequentially object at 0x0000025CAB9703D0>,5,10000,0.6,0.0021,1.1358,0.0192,0.0221,0.0021
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB9704C0>,5,10000,0.6,0.0035,1.2003,0.0315,0.0275,0.0035
<supervillain.generator.combining.Sequentially object at 0x0000025CAB9706A0>,5,10000,0.605,0.0019,1.1175,0.0186,0.0240,0.0019
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB970790>,5,10000,0.605,0.0028,1.0787,0.0252,0.0169,0.0028
<supervillain.generator.combining.Sequentially object at 0x0000025CAB970970>,5,10000,0.61,0.0018,1.0846,0.0162,0.0214,0.0018
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB970A60>,5,10000,0.61,0.0024,1.1026,0.0239,0.0233,0.0024
<supervillain.generator.combining.Sequentially object at 0x0000025CAB970C40>,5,10000,0.615,0.0018,1.0509,0.0163,0.0191,0.0018
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB970D30>,5,10000,0.615,0.0029,1.0365,0.0267,0.0187,0.0029
<supervillain.generator.combining.Sequentially object at 0x0000025CAB970F10>,5,10000,0.62,0.0022,0.9943,0.0180,0.0155,0.0022
